# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
# Label	X/East	Y/North	Z/Altitude	Error (m)	X error	Y error	Z error	X est	Y est	Z est
Sib 2	-114.883746	51.038859	1439.000000	3.001033	-0.093795	0.016493	-2.999521	-114.883747	51.038859	1436.000479
Sib 3	-114.883874	51.038865	1436.000000	2.466348	0.490889	-2.416563	0.046083	-114.883867	51.038843	1436.046082
Sib 5	-114.883883	51.038912	1439.000000	4.184121	-0.357776	3.885493	1.510567	-114.883888	51.038947	1440.510566
Sib 8	-114.883818	51.038981	1445.000000	3.724922	1.635224	1.524538	-2.979408	-114.883795	51.038995	1442.020591
Sib 9	-114.883520	51.039013	1440.000000	3.247729	-3.120071	-0.210266	0.876749	-114.883564	51.039011	1440.876748
Sib 7	-114.883793	51.038956	1437.000000	4.743268	1.445526	-2.799689	3.545530	-114.883772	51.038931	1440.545529
point 1								-114.883987	51.038900	1440.143768
point 2								-114.883919	51.038924	1440.121966
point 3								-114.883854	51.038929	1440.325311
point 4								-114.883795	51.038944	1440.328275
point 5								-114.883715	51.038965	1440.353292
# Total error				3.640451	1.574596	2.278296	2.362816
